CXHHBNMLPJOKQD-UHFFFAOYSA-N	000	methyl hydrogen carbonate
NBYCDVVSYOMFMS-VMPREFPWSA-N	001	1-[2,2-difluoro-2-(3,4,5-trimethoxy-phenyl)-acetyl]-piperidine-2-carboxylic acid 4-phenyl-1-(3-pyridin-3-yl-propyl)-butyl ester
MWZOULASPWUGJJ-NFBUACBFSA-N	002	n-[(2r)-2-benzyl-4-(hydroxyamino)-4-oxobutanoyl]-l-isoleucyl-l-leucine
NNZDBCPMOOEFTE-UHFFFAOYSA-N	003	5-methyl-7-(2-methylpropyl)-2-(naphthalen-1-ylmethyl)-3-pyridin-4-yl-2h-pyrazolo[3,4-d]pyrimidine-4,6(5h,7h)-dione
ZGUNAGUHMKGQNY-ZETCQYMHSA-N	004	(2s)-amino(phenyl)ethanoic acid
LDSJMFGYNFIFRK-IUCAKERBSA-N	005	(2s,3s)-3-amino-2-hydroxy-4-phenylbutanoic acid
KKTYZYHUPKXLPL-RIQJEONASA-N	006	(4r)-3-[(2s,3s)-3-{[(2,6-dimethylphenoxy)acetyl]amino}-2-hydroxy-4-phenylbutanoyl]-n-[(1s,2r)-2-hydroxy-2,3-dihydro-1h-inden-1-yl]-5,5-dimethyl-1,3-thiazolidine-4-carboxamide
SJWOFBVBNFLWLP-UHFFFAOYSA-N	007	1-methylamine-1-benzyl-cyclopentane
OEVYDSSAPNIURZ-AEFFLSMTSA-N	008	(s)-2-[(r)-3-amino-4-(2-fluoro-phenyl)-butyryl]-1,2,3,4-tetrahydro-isoquinoline-3-carboxylic acid amide
DCJGHBWTJFHQCR-UEHMVRIRSA-N	009	(4s)-1,4-dibenzyl-n-[(1s,2r)-1-benzyl-3-{[3-(dimethylamino)benzyl]amino}-2-hydroxypropyl]-2-oxoimidazolidine-4-carboxamide
RVDNKWBGRIIRML-XNIJJKJLSA-N	00A	5'-o-[(s)-{[(4-chlorophenyl)carbonyl]oxy}(hydroxy)phosphoryl]adenosine
PMQQFSDIECYOQV-SCSAIBSYSA-N	00B	(4r)-5,5-dimethyl-1,3-thiazolidine-4-carboxylic acid
XVOYSCVBGLVSOL-UWTATZPHSA-N	00C	3-sulfo-d-alanine
DXSUORGKJZADET-RXMQYKEDSA-N	00D	(2r)-3,3-dimethylbutan-2-amine
VIWZVFVJPXTXPA-UHFFFAOYSA-N	00E	morpholin-4-ylacetic acid
SMNGNHRXUGKQDP-MWLCHTKSSA-N	00F	(2s)-3-[(r)-[(1r)-1-amino-2-phenylethyl](hydroxy)phosphoryl]-2-methylpropanoic acid
NSZDJRLPCLOQAM-UHFFFAOYSA-N	00G	5-[2-(1h-pyrrol-1-yl)ethoxy]-1h-indole
CZMVVDBXWOZCRC-SNVBAGLBSA-N	00H	3-[(r)-[(1r)-1-amino-2-phenylethyl](hydroxy)phosphoryl]propanoic acid
XRFHGJLVHMSQFX-IZZNHLLZSA-N	00I	n-[(1r)-1-(4-carbamimidoylbenzyl)-2-oxo-2-piperidin-1-ylethyl]-n~2~-(naphthalen-2-ylsulfonyl)-l-alpha-glutamine
LGXVKMDGSIWEHL-UHFFFAOYSA-N	00J	n,2-dimethyl-6-{[7-(2-morpholin-4-ylethoxy)quinolin-4-yl]oxy}-1-benzofuran-3-carboxamide
