cmpdiupacname,rotbonds,hbonddonor,mf,cid,complexity,mw,heavycnt,cmpdname,polararea,cmpdinchikey,hbondacc,xlogp
imidazol-3-ide,0,0,C3H3N2-,3386966,24.1,67.069,5,imidazolide,13.9,JBFYUZGYRGXSFL-UHFFFAOYSA-N,2,0
imidazole,0,0,C3H3N2,5380665,24.1,67.069,5,1H-Imidazole-1-ylradical,25.8,AODALHUPEBREOC-UHFFFAOYSA-N,1,0
"1,4-dihydroimidazol-4-ylium",0,1,C3H3N2+,59426909,28.1,67.069,5,,28.7,NDVXROYZWDEYNM-UHFFFAOYSA-N,1,-0.1
1H-imidazole,0,1,C3H3N2,57417597,28.1,67.069,5,,28.7,YYEPNFBAPVOZNQ-UHFFFAOYSA-N,1,-0.1
1H-imidazole,0,1,C3H3N2,57417611,28.1,67.069,5,,28.7,GBXPUPZLGAHCBF-UHFFFAOYSA-N,1,-0.1
"1,2-dihydroimidazol-2-ylium",0,1,C3H3N2+,57448410,28.1,67.069,5,,28.7,SJHLSFIIKBXZJM-UHFFFAOYSA-N,1,-0.1
1H-imidazole,0,1,C3H4N2,795,28.1,68.077,5,imidazole,28.7,RAXXELZNTBOGNW-UHFFFAOYSA-N,1,-0.1
1H-imidazole,0,1,C3H4N2+,57479752,28.1,68.077,5,,16.8,OIKJTEWQSJYPLC-UHFFFAOYSA-N,0,-0.1
1-deuterioimidazole,0,1,C3H4N2,102123714,28.1,69.083,5,,28.7,RAXXELZNTBOGNW-DYCDLGHISA-N,1,-0.1
5-deuterio-1H-imidazole,0,1,C3H4N2,91363230,28.1,69.083,5,,28.7,RAXXELZNTBOGNW-MICDWDOJSA-N,1,-0.1
2-deuterio-1H-imidazole,0,1,C3H4N2,12203053,28.1,69.083,5,,28.7,RAXXELZNTBOGNW-WFVSFCRTSA-N,1,-0.1
1H-imidazol-3-ium,0,2,C3H5N2+,444234,24.1,69.085,5,imidazolium,29.9,RAXXELZNTBOGNW-UHFFFAOYSA-O,0,0
hydron;1H-imidazole,0,2,C3H5N2+,21983501,28.1,69.085,5,,28.7,RAXXELZNTBOGNW-UHFFFAOYSA-O,1,
1H-imidazole,0,1,C3H4N2,16213375,28.1,70.064,5,Imidazole-15N2,28.7,RAXXELZNTBOGNW-MQIHXRCWSA-N,1,-0.1
1H-imidazole,0,1,C3H4N2,10796699,28.1,70.069,5,,28.7,RAXXELZNTBOGNW-YZRHJBSPSA-N,1,-0.1
"4,5-dideuterio-1H-imidazole",0,1,C3H4N2,90473273,28.1,70.089,5,"IMIDAZOLE-4,5-D2",28.7,RAXXELZNTBOGNW-QDNHWIQGSA-N,1,-0.1
"1,2-dideuterioimidazole",0,1,C3H4N2,12203050,28.1,70.089,5,,28.7,RAXXELZNTBOGNW-AMVILDFXSA-N,1,-0.1
3-deuterio-1H-imidazol-3-ium,0,2,C3H5N2+,22869159,24.1,70.091,5,,29.9,RAXXELZNTBOGNW-DYCDLGHISA-O,0,0
1H-imidazole,0,1,C3H4N2,76972953,28.1,71.055,5,"[13C3]-1,3-Diaza-2,4-cyclopentadiene|||[13C3]-Glyoxaline",28.7,RAXXELZNTBOGNW-VMIGTVKRSA-N,1,-0.1
1H-imidazole,0,1,C3H4N2,66995563,28.1,71.056,5,"Imidazole-2-13C,15N2",28.7,RAXXELZNTBOGNW-FRSWOAELSA-N,1,-0.1
"1,3-dideuterioimidazol-1-ium",0,2,C3H5N2+,102123713,24.1,71.097,5,,29.9,RAXXELZNTBOGNW-ZSJDYOACSA-O,0,0
"1,2,4,5-tetradeuterioimidazole",0,1,C3H4N2,11701027,28.1,72.101,5,Imidazole-d4,28.7,RAXXELZNTBOGNW-MSWVZFBTSA-N,1,-0.1
1H-imidazole;lithium,0,1,C3H4LiN2,67387606,28.1,75.018,6,"1H-IMIDAZOLE, LITHIUM SALT",28.7,FIGYYXIYTVBRJV-UHFFFAOYSA-N,1,
lithium;1H-imidazole,0,1,C3H4LiN2+,22572452,28.1,75.018,6,"1H-IMIDAZOLE, LITHIUM SALT",28.7,NDDLSJSEQXBGHA-UHFFFAOYSA-N,1,
boron;1H-imidazole,0,1,C3H4BN2,22218617,28.1,78.888,6,,28.7,ZKHNOHWHSQEUFZ-UHFFFAOYSA-N,1,
"4-methyl-1,2-dihydroimidazol-2-ylium",0,1,C4H5N2+,89051155,44.8,81.095,6,,28.7,UHVCHZBJPXKJKP-UHFFFAOYSA-N,1,0
4-methylimidazole,0,0,C4H5N2,57431433,44.8,81.095,6,,25.8,XDKUKGIJDNUFGK-UHFFFAOYSA-N,1,0
4-methyl-1H-imidazole,0,1,C4H5N2,57433518,44.8,81.095,6,,28.7,HEXNPAOGISZKCW-UHFFFAOYSA-N,1,0
5-methyl-1H-imidazole,0,1,C4H5N2,57493167,44.8,81.095,6,,28.7,VUSGDJBXZNRGQA-UHFFFAOYSA-N,1,0.2
4-methylimidazol-1-ide,0,0,C4H5N2-,22572448,44.8,81.095,6,4-Methyl-1H-imidazole-1-ide,13.9,VOWLYDOOKUQGDA-UHFFFAOYSA-N,2,0
5-methyl-1H-imidazole,0,1,C4H5N2,57446388,44.8,81.095,6,,28.7,HEXNPAOGISZKCW-UHFFFAOYSA-N,1,0.2
5-methyl-1H-imidazole,0,1,C4H6N2,13195,44.8,82.103,6,4-Methylimidazole,28.7,XLSZMDLNRCVEIJ-UHFFFAOYSA-N,1,0.2
1H-imidazol-5-amine,0,2,C3H5N3,484,45.3,83.091,6,4-aminoimidazole,54.7,QRZMXADUXZADTF-UHFFFAOYSA-N,2,0
5-deuterio-4-methyl-1H-imidazole,0,1,C4H6N2,57528430,44.8,83.11,6,,28.7,XLSZMDLNRCVEIJ-VMNATFBRSA-N,1,0
2-deuterio-5-methyl-1H-imidazole,0,1,C4H6N2,59374872,44.8,83.11,6,4-Methyl(2-2H)-1H-imidazole,28.7,XLSZMDLNRCVEIJ-WFVSFCRTSA-N,1,0.2
5-methyl-1H-imidazol-3-ium,0,2,C4H7N2+,21267672,44.8,83.111,6,4-methylimidazolium,29.9,XLSZMDLNRCVEIJ-UHFFFAOYSA-O,0,0
1H-imidazol-5-ol,0,2,C3H4N2O,18377217,48.1,84.076,6,1H-Imidazol-4-ol,48.9,VKFMHRMTBYXHKO-UHFFFAOYSA-N,2,0
"1,4-dideuterio-5-methylimidazole",0,1,C4H6N2,101166766,44.8,84.116,6,"4-Methyl(1,5-2H2)-1H-imidazole",28.7,XLSZMDLNRCVEIJ-YQWZEFQTSA-N,1,0.2
"2,5-dideuterio-4-methyl-1H-imidazole",0,1,C4H6N2,57636745,44.8,84.116,6,"4-Methyl(2,5-2H2)-1H-imidazole",28.7,XLSZMDLNRCVEIJ-PBNXXWCMSA-N,1,0
azane;1H-imidazole,0,2,C3H7N3,19811086,28.1,85.107,6,,29.7,JWIDSTYFYCGRQG-UHFFFAOYSA-N,2,
"1,2,4-trideuterio-5-methylimidazole",0,1,C4H6N2,101166767,44.8,85.122,6,"4-Methyl(1,2,5-2H3)-1H-imidazole",28.7,XLSZMDLNRCVEIJ-GTDALWBISA-N,1,0.2
5-(trideuteriomethyl)-1H-imidazole,0,1,C4H6N2,71750394,44.8,85.122,6,4-Methylimidazole-d3,28.7,XLSZMDLNRCVEIJ-FIBGUPNXSA-N,1,0.2
5-fluoro-1H-imidazole,0,1,C3H3FN2,99297,48.1,86.067,6,4-Fluoro-1H-imidazole,28.7,HWUPTWDARIVICI-UHFFFAOYSA-N,2,0
1H-imidazole;hydrate,0,2,C3H6N2O,20435904,28.1,86.092,6,,29.7,QLWOUBCORTYSPP-UHFFFAOYSA-N,2,
5-(trideuteriomethyl)-1H-imidazole,0,1,C4H6N2,10057445,44.8,86.114,6,,28.7,XLSZMDLNRCVEIJ-KQORAOOSSA-N,1,0.2
azanium;1H-imidazole,0,2,C3H8N3+,91987225,28.1,86.115,6,"1H-IMIDAZOLE, AMMONIUM SALT",29.7,JWIDSTYFYCGRQG-UHFFFAOYSA-O,1,
hydron;1H-imidazole;fluoride,0,2,C3H5FN2,18504388,28.1,88.083,6,,28.7,LTPGVRJWDQWUGN-UHFFFAOYSA-N,2,
"1,2,5-trideuterio-4-(trideuteriomethyl)imidazole",0,1,C4H6N2,92043220,44.8,88.14,6,4-Methylimidazole-d6,28.7,XLSZMDLNRCVEIJ-RSRPWSGMSA-N,1,
sodium;1H-imidazole,0,1,C3H4N2Na+,79700,28.1,91.067,6,"1h-imidazole, sodium salt(1:1)",28.7,KYPWTIZOPWGPMK-UHFFFAOYSA-N,1,
1H-imidazole;sodium,0,1,C3H4N2Na,57373095,28.1,91.067,6,Sodium Imidazole,28.7,YNCPXBIZAPNQIJ-UHFFFAOYSA-N,1,
"4,5-di(methyl)-1H-imidazole",0,1,C5H4N2,59355369,63.1,92.098,7,,28.7,DYHLSHWQLSDWLR-UHFFFAOYSA-N,1,0
5-ethynyl-1H-imidazole,1,1,C5H4N2,18428363,99.9,92.098,7,AKOS006357270,28.7,BJXDBXQZKWQSBV-UHFFFAOYSA-N,1,0
magnesium;1H-imidazole,0,1,C3H4MgN2+2,19373565,28.1,92.382,6,,28.7,ZBQFYDGAUCRSOQ-UHFFFAOYSA-N,1,
1H-imidazol-5-yl(methyl)boron,1,1,C4H6BN2,58449810,57.7,92.914,7,,28.7,RJIYGMQXZXVRDG-UHFFFAOYSA-N,1,
1H-imidazole-5-carbonitrile,0,1,C4H3N3,564457,101,93.086,7,1H-Imidazole-4-carbonitrile,52.5,NWVGXXPWOYZODV-UHFFFAOYSA-N,2,0
5-isocyano-1H-imidazole,0,1,C4H3N3,54088885,101,93.086,7,,33,MSLRJZMCTFXZIU-UHFFFAOYSA-N,2,0
imidazol-4-yliminoazanide,0,0,C3H2N4-,101060443,71.3,94.074,7,4-Diazo-4H-imidazole,39.1,YKRPJBUOGAOSOF-UHFFFAOYSA-N,3,
5-ethenyl-1H-imidazole,1,1,C5H6N2,271079,70.5,94.114,7,5-Vinyl-1H-imidazole,28.7,MHQZDNQHLGFBRN-UHFFFAOYSA-N,1,0
