cmpdiupacname,rotbonds,hbonddonor,mf,cid,complexity,mw,heavycnt,cmpdname,polararea,cmpdinchikey,hbondacc,xlogp
"1,3-dimethyl-8-pyridin-4-yl-7H-purine-2,6-dione",1,1,C12H11N5O2,121006,396,257.248,19,8-gamma-Pyridyltheophylline,82.2,JYDGYFVFOFEYJU-UHFFFAOYSA-N,4,1.1
"1,3-dimethyl-7H-purine-2,6-dione;2-(2-hydroxyethylamino)ethanol",4,4,C11H19N5O4,122562,296,285.299,20,Deriphyllin,122,XYBFIZMXHHNHKG-UHFFFAOYSA-N,6,
"1,3-dimethylimidazolidine-2,4,5-trione",0,0,C5H6N2O3,123226,201,142.112,10,"N,N'-Dimethylparabanic acid",57.7,UJYBVDOLXHCNOL-UHFFFAOYSA-N,3,0
"N-[4-(4-bromophenyl)-1,3-thiazol-2-yl]-2-(1,3-dimethyl-2,6-dioxopurin-7-yl)acetamide",4,1,C18H15BrN6O3S,1146273,676,475.319,29,BAS 02989145,129,PJTIUFKDAKIUEV-UHFFFAOYSA-N,6,2.3
"1-[(3,4-diethoxyphenyl)methyl]-6,7-diethoxy-3,4-dihydroisoquinoline;2-(1,3-dimethyl-2,6-dioxopurin-7-yl)acetic acid",12,1,C33H41N5O8,124905,896,635.707,46,Depogen,145,OUKQYSCCWVCDKU-UHFFFAOYSA-N,10,
"1,3-dimethyl-8-(morpholin-4-ylmethyl)-7-(2-phenylethyl)purine-2,6-dione",5,0,C20H25N5O3,647188,576,383.444,28,SMR000014436,70.9,SUSLBOZVVIMHKD-UHFFFAOYSA-N,5,0.001
"1-(1,3-dimethyl-2,5-dioxoimidazolidin-4-yl)-3-methylurea",1,2,C7H12N4O3,127086,291,200.195,14,"1,3,8-Trimethylallantoin",81.8,GTVVDWODKSYESY-UHFFFAOYSA-N,3,-0.001
"8-(2-hydroxyethylamino)-1,3-dimethyl-7-(3-phenylpropyl)purine-2,6-dione",7,2,C18H23N5O3,3148885,511,357.406,26,BAS 03819221,90.7,JFDUQJMTVIZUFP-UHFFFAOYSA-N,5,0.001
"2-(1,3-dimethyl-2,6-dioxopurin-7-yl)-N-(4-propan-2-ylphenyl)acetamide",4,1,C18H21N5O3,1150897,573,355.391,26,HC-030031,87.5,HEQDZPHDVAOBLN-UHFFFAOYSA-N,4,1.7
"(2S)-2,6-diaminohexanoic acid;1,3-dimethyl-7H-purine-2,6-dione",5,4,C13H22N6O4,134381,373,326.351,23,Lysine theophylline,159,UBLVUWUKNHKCJJ-ZSCHJXSPSA-N,7,
"4-(1,3-dimethyl-2,6-dioxo-7H-purin-8-yl)benzoic acid",2,2,C14H12N4O4,135109,503,300.269,22,CHEMBL11048,107,VOGIMZNURUXDIJ-UHFFFAOYSA-N,5,1.7
"1,3-dimethyl-7-[(3-methylphenyl)methyl]-8-(propylamino)purine-2,6-dione",5,1,C18H23N5O2,649788,514,341.407,25,MLS000071944,70.5,MOMFUPNXOMELLB-UHFFFAOYSA-N,4,0.002
"8-[2-(2,3-dihydro-1,4-benzodioxin-6-yl)-2-oxoethyl]sulfanyl-1,3-dimethyl-7-propan-2-ylpurine-2,6-dione",5,0,C20H22N4O5S,649858,707,430.477,30,ASN 04456335,119,JGXLAOHMOXVKQW-UHFFFAOYSA-N,7,0.002
"1,3-dimethylbenzo[g]pteridine-2,4-dione",0,0,C12H10N4O2,137780,386,242.233,18,"1,3-Dimethylalloxazine",66.4,YEMGIXHLCZYUPK-UHFFFAOYSA-N,4,0
"benzyl 2-(1,3-dimethyl-2,6-dioxo-7-propylpurin-8-yl)sulfanylacetate",8,0,C19H22N4O4S,650033,599,402.467,28,SMR000002292,110,KQUBAVYVKYHWNO-UHFFFAOYSA-N,6,0.002
"6-[2-[2-hydroxyethyl-[3-(4-nitrophenyl)propyl]amino]ethylamino]-1,3-dimethylpyrimidine-2,4-dione;hydrochloride",10,3,C19H28ClN5O5,122188,613,441.909,30,Nifekalant hydrochloride,122,YPVGGQKNWAKOPX-UHFFFAOYSA-N,7,
"2,6,8-trimethyl-4a-(2-oxopropyl)-4H-pyrimido[5,4-e][1,2,4]triazine-3,5,7-trione",2,1,C11H15N5O4,127007,557,281.267,20,Pyrizinostatin,102,HUZNODILVCXFIG-UHFFFAOYSA-N,5,-1.8
"2,4,6-trimethyl-7-oxa-2,4-diazabicyclo[4.1.0]heptane-3,5-dione",0,0,C7H10N2O3,127493,278,170.165,12,"1,3-Dimethylthymine epoxide",53.2,SKZFCMPJEGRTBB-UHFFFAOYSA-N,3,0
"[3-(1,3-dimethyl-2,6-dioxopurin-7-yl)-2-hydroxypropyl] 4-phenylmethoxybenzoate",9,1,C24H24N4O6,133923,737,464.47,34,Diprophyllinyl-4-benzyloxybenzoate,114,KMRDAVBNQQOIRH-UHFFFAOYSA-N,7,1.9
"2-(1,3-dimethyl-2,6-dioxopurin-7-yl)-N-(1-hydroxybutan-2-yl)acetamide",5,2,C13H19N5O4,134127,471,309.321,22,Theophylline-7-acetylaminobutanol,108,RAJOZBBPJBDOMX-UHFFFAOYSA-N,5,-0.7
